2024-06-14T14:58:35.677Z info: Connected to DB and listening to port 8000
2024-06-14T14:58:37.699Z info: Connected to DB and listening to port 8000
2024-06-14T14:58:42.872Z info: Connected to DB and listening to port 8000
2024-06-14T14:58:54.644Z info: Connected to DB and listening to port 8000
2024-06-14T14:58:56.287Z info: Connected to DB and listening to port 8000
2024-06-14T14:59:00.523Z info: Connected to DB and listening to port 8000
2024-06-14T14:59:01.747Z info: Connected to DB and listening to port 8000
2024-06-14T14:59:15.555Z info: Connected to DB and listening to port 8000
2024-06-14T14:59:21.392Z info: Connected to DB and listening to port 8000
2024-06-14T14:59:26.355Z info: Connected to DB and listening to port 8000
2024-06-14T14:59:28.152Z info: Connected to DB and listening to port 8000
2024-06-14T14:59:32.654Z info: Connected to DB and listening to port 8000
2024-06-14T14:59:33.967Z info: Connected to DB and listening to port 8000
2024-06-14T14:59:36.303Z info: Connected to DB and listening to port 8000
2024-06-14T14:59:39.960Z info: Connected to DB and listening to port 8000
2024-06-14T14:59:43.202Z info: Connected to DB and listening to port 8000
2024-06-14T14:59:50.124Z info: Connected to DB and listening to port 8000
2024-06-14T14:59:53.220Z info: Connected to DB and listening to port 8000
2024-06-14T15:00:11.445Z info: Connected to DB and listening to port 8000
2024-06-14T15:00:14.131Z info: Connected to DB and listening to port 8000
2024-06-14T15:00:18.608Z info: Connected to DB and listening to port 8000
2024-06-14T15:00:21.904Z info: Connected to DB and listening to port 8000
2024-06-14T15:00:31.443Z info: Connected to DB and listening to port 8000
2024-06-14T15:00:35.041Z info: Connected to DB and listening to port 8000
2024-06-14T15:00:38.051Z info: Connected to DB and listening to port 8000
2024-06-14T15:00:39.696Z info: Connected to DB and listening to port 8000
2024-06-14T15:00:51.297Z info: Connected to DB and listening to port 8000
2024-06-14T15:00:56.979Z info: Connected to DB and listening to port 8000
2024-06-14T15:00:58.095Z info: Connected to DB and listening to port 8000
2024-06-14T15:01:03.873Z info: Connected to DB and listening to port 8000
2024-06-14T15:01:10.249Z info: Connected to DB and listening to port 8000
2024-06-14T15:01:17.419Z info: Connected to DB and listening to port 8000
2024-06-14T15:01:22.264Z info: Connected to DB and listening to port 8000
2024-06-14T15:01:30.906Z info: Connected to DB and listening to port 8000
2024-06-14T15:01:36.816Z info: Connected to DB and listening to port 8000
2024-06-14T15:01:37.846Z info: Connected to DB and listening to port 8000
2024-06-14T15:01:41.195Z info: Connected to DB and listening to port 8000
2024-06-14T15:01:42.400Z info: Connected to DB and listening to port 8000
2024-06-14T15:02:01.232Z info: Connected to DB and listening to port 8000
2024-06-14T15:02:03.980Z info: Connected to DB and listening to port 8000
2024-06-14T15:02:05.558Z info: Connected to DB and listening to port 8000
2024-06-14T15:02:06.634Z info: Connected to DB and listening to port 8000
2024-06-14T15:02:09.608Z info: Connected to DB and listening to port 8000
2024-06-14T15:02:17.238Z info: Connected to DB and listening to port 8000
2024-06-14T15:02:25.123Z info: Connected to DB and listening to port 8000
2024-06-14T15:02:27.059Z info: Connected to DB and listening to port 8000
2024-06-14T15:02:38.879Z info: Connected to DB and listening to port 8000
2024-06-14T15:02:44.676Z info: Connected to DB and listening to port 8000
2024-06-14T15:02:45.663Z info: Connected to DB and listening to port 8000
2024-06-14T15:02:48.607Z info: Connected to DB and listening to port 8000
2024-06-14T15:02:52.106Z info: Connected to DB and listening to port 8000
2024-06-14T15:02:55.327Z info: Connected to DB and listening to port 8000
2024-06-14T15:02:56.630Z info: Connected to DB and listening to port 8000
2024-06-14T15:03:29.525Z info: Connected to DB and listening to port 8000
2024-06-14T15:03:32.170Z info: Connected to DB and listening to port 8000
2024-06-14T15:03:33.680Z info: Connected to DB and listening to port 8000
2024-06-14T15:03:40.066Z info: Connected to DB and listening to port 8000
2024-06-14T15:03:42.794Z info: Connected to DB and listening to port 8000
2024-06-14T15:03:45.383Z info: Connected to DB and listening to port 8000
2024-06-14T15:03:46.600Z info: Connected to DB and listening to port 8000
2024-06-14T15:03:48.572Z info: Connected to DB and listening to port 8000
2024-06-14T15:03:49.778Z info: Connected to DB and listening to port 8000
2024-06-14T15:03:51.210Z info: Connected to DB and listening to port 8000
2024-06-14T15:03:53.789Z info: Connected to DB and listening to port 8000
2024-06-14T15:03:56.395Z info: Connected to DB and listening to port 8000
2024-06-14T15:03:58.592Z info: Connected to DB and listening to port 8000
2024-06-14T15:04:01.031Z info: Connected to DB and listening to port 8000
2024-06-14T15:04:01.944Z info: Connected to DB and listening to port 8000
2024-06-14T15:04:05.592Z info: Connected to DB and listening to port 8000
2024-06-14T15:04:08.758Z info: Connected to DB and listening to port 8000
2024-06-14T15:04:11.560Z info: Connected to DB and listening to port 8000
2024-06-14T15:04:16.835Z info: Connected to DB and listening to port 8000
2024-06-14T15:04:19.051Z info: Connected to DB and listening to port 8000
2024-06-14T15:04:39.489Z info: Connected to DB and listening to port 8000
2024-06-14T15:04:42.941Z info: Connected to DB and listening to port 8000
2024-06-14T15:04:57.140Z info: Connected to DB and listening to port 8000
2024-06-14T15:06:44.992Z info: /api/user/signup
2024-06-14T15:06:54.562Z info: /api/user/signup
2024-06-14T15:07:17.591Z info: /api/user/signup
2024-06-14T15:07:17.709Z info: User Signed Up!!
2024-06-14T15:07:17.712Z info: Token Created!!
2024-06-14T15:07:17.712Z info: seller
2024-06-14T15:08:11.904Z info: /api/user/login
2024-06-14T15:08:37.837Z info: Connected to DB and listening to port 8000
2024-06-14T15:08:39.627Z info: /api/user/login
2024-06-14T15:08:50.291Z info: /api/user/login
2024-06-14T15:08:50.380Z info: User Logged In!!!
2024-06-14T15:08:50.384Z info: Token Created!!!
2024-06-14T15:08:50.384Z info: seller
2024-06-14T15:09:42.007Z info: Connected to DB and listening to port 8000
2024-06-14T15:10:03.138Z info: Connected to DB and listening to port 8000
2024-06-14T15:10:06.274Z info: Connected to DB and listening to port 8000
2024-06-14T15:10:09.499Z info: Connected to DB and listening to port 8000
2024-06-14T15:10:13.562Z info: Connected to DB and listening to port 8000
2024-06-14T15:10:28.471Z info: Connected to DB and listening to port 8000
2024-06-14T15:10:40.678Z info: Connected to DB and listening to port 8000
2024-06-14T15:11:40.192Z info: /api/user/signup
2024-06-14T15:11:40.332Z info: User Signed Up!!
2024-06-14T15:11:40.336Z info: Token Created!!
2024-06-14T15:11:40.336Z info: customer
2024-06-14T15:12:16.026Z info: /api/user/login
2024-06-14T15:12:16.117Z info: User Logged In!!!
2024-06-14T15:12:16.118Z info: Token Created!!!
2024-06-14T15:12:16.118Z info: customer
2024-06-14T15:12:46.071Z info: /metrics
2024-06-14T15:12:56.401Z info: /metrics
2024-06-14T15:12:56.508Z info: /favicon.ico2025-03-28T14:17:32.609Z info: Connected to DB and listening to port 8000
